/community/adrean.ho/874268//,2016-,04-23,Brazos Bend 50 2016 - 50K ,50km / 600m+,Finisher,United States,Yes
/community/adrean.ho/1192949//,2015-,12-06,Xterra Trail Run Wc 2015 - 21Km ,21.1km / 525m+,Finisher,United States,-
/community/adrian.ho/2473187//,2018-,09-29,Msig Singapore Action Asia 50 2018 - 50Km ,50km / 575m+,DNF,Singapore,Yes
/community/agnes.ho/926495//,2017-,04-09,La Légende Du Graoully 2017 - La Trace Du Graoully ,20.7km / 675m+,Finisher,France,Yes
/community/agnes.ho/926495//,2016-,06-12,Trail Du Saint Quentin 2016 - Trail Court 25 Km ,26.4km / 975m+,Finisher,France,Yes
/community/aidan.ho/1329519//,2018-,12-15,The North Face 100 Hong Kong 2018 - 100K ,102.1km / 5750m+,Finisher,"Hong Kong, China",Yes
/community/aidan.ho/1329519//,2017-,03-11,Translantau 2017 - 50 Km ,50km / 2125m+,Finisher,"Hong Kong, China",Yes
/community/alan.ho/2423267//,2018-,10-20,Trans Jeju 2018 - 56K ,56.6km / 2450m+,Finisher,South Korea,Yes
/community/alex.ho/29623//,2014-,03-01,Msig Sai Kung 50 2014 - 50 Km ,51.5km / 2500m+,Finisher,"Hong Kong, China",Yes
/community/alex.ho/370617//,2018-,11-24,Quad Dipsea 2018 ,45.7km / 2800m+,Finisher,United States,-
/community/alex.ho/370617//,,06-23,Western States Endurance Run 2018 ,161.6km / 5375m+,Finisher,United States,Yes
/community/alex.ho/370617//,2017-,11-25,Quad Dipsea 2017 ,45.7km / 2800m+,Finisher,United States,-
/community/alex.ho/370617//,,06-16,Bighorn Trail Run 2017 - 100M ,167.3km / 6750m+,Finisher,United States,-
/community/alex.ho/370617//,2016-,12-03,The North Face Endurance Challenge California 2016 - 50K ,50.6km / 1925m+,Finisher,United States,Yes
/community/alex.ho/370617//,,11-12,Mt. Tam Trail Run 2016 - 30Km ,30km / 1300m+,Finisher,United States,-
/community/alex.ho/370617//,,04-02,Gorge Waterfalls 100K 2016 ,100.7km / 5300m+,Finisher,United States,Yes
